학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000008185,영남중학교,중학교,1980-10-02,공립,본교,운영,서울특별시 영등포구 대림동 735,서울특별시 영등포구 대림로31나길 17,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.49787218,126.8958365,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008196,백운중학교,중학교,1992-05-06,공립,본교,운영,서울특별시 도봉구 쌍문동 68-2,서울특별시 도봉구 도봉로129길 50,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.65640592,127.035904,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008325,공항중학교,중학교,1955-04-28,공립,본교,운영,서울특별시 강서구 공항동 12-3,서울특별시 강서구 방화대로 241,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.56217751,126.8149668,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000027170,마곡하늬중학교,중학교,2020-03-01,공립,본교,운영,서울특별시 강서구 마곡동 749,서울특별시 강서구 마곡서1로 16,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.558128,126.8209848,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008288,신명중학교,중학교,1993-10-09,공립,본교,운영,서울특별시 강동구 길동 42,서울특별시 강동구 명일로24길 25,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.54181449,127.1492919,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008394,봉림중학교,중학교,1989-04-21,공립,본교,운영,서울특별시 관악구 봉천동 1531-38,서울특별시 관악구 장군봉길 72,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2024-07-09,37.48119817,126.9377027,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008431,대원국제중학교,중학교,1977-05-20,사립,본교,운영,서울특별시 광진구 중곡동 176-124,서울특별시 광진구 용마산로22길 26,7010000,서울특별시교육청,7134000,서울특별시성동광진교육지원청,2013-11-29,2024-07-09,37.56249279,127.089418,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008202,정의여자중학교,중학교,1971-01-30,사립,본교,운영,서울특별시 도봉구 쌍문동 150-1,서울특별시 도봉구 노해로49길 69,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.65335584,127.0324273,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008299,한영중학교,중학교,1933-04-18,사립,본교,운영,서울특별시 강동구 상일동 166,서울특별시 강동구 동남로 832,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2024-07-09,37.54914056,127.1577731,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008121,연천중학교,중학교,1984-05-04,공립,본교,운영,서울특별시 은평구 불광동 441-1,서울특별시 은평구 연서로41길 30,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.62754521,126.9258199,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008447,동구여자중학교,중학교,1942-06-17,사립,본교,운영,서울특별시 성북구 성북동 168-275,서울특별시 성북구 성북로8길 71,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.594194,127.0082153,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008227,상명중학교,중학교,1937-12-01,사립,본교,운영,서울특별시 노원구 중계동 515,서울특별시 노원구 덕릉로 553,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2024-07-09,37.64954781,127.0680416,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008305,신남중학교,중학교,1984-05-06,공립,본교,운영,서울특별시 양천구 신월동 610-3,서울특별시 양천구 중앙로29길 109,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.52077389,126.847893,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008336,명덕여자중학교,중학교,1977-10-15,사립,본교,운영,서울특별시 강서구 내발산동 169-1,서울특별시 강서구 강서로47길 34-10,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2024-07-09,37.55394399,126.8342915,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008249,한강중학교,중학교,1972-12-29,공립,본교,운영,서울특별시 용산구 서빙고동 4-1,서울특별시 용산구 녹사평대로 73,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.52361192,126.9927909,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008442,종암중학교,중학교,1980-04-09,공립,본교,운영,서울특별시 성북구 종암동 32-3,서울특별시 성북구 종암로5길 80-17,7010000,서울특별시교육청,7121200,서울특별시성북강북교육지원청,2013-11-29,2024-07-09,37.593111,127.0319913,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008239,창덕여자중학교,중학교,1945-04-22,공립,본교,운영,서울특별시 중구 정동 27-3,서울특별시 중구 정동길 22,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2024-07-09,37.5664328,126.9692102,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008187,양화중학교,중학교,1980-12-27,공립,본교,운영,서울특별시 영등포구 문래동3가 48,서울특별시 영등포구 당산로 56,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.5196596,126.8959945,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008117,진관중학교,중학교,2018-05-01,공립,본교,운영,서울특별시 은평구 진관동 16,서울특별시 은평구 진관4로 36,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.64425564,126.9257277,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008139,한성중학교,중학교,1928-09-25,사립,본교,운영,서울특별시 서대문구 북아현동 170-1,서울특별시 서대문구 북아현로1길 24,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.55909644,126.9544565,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008138,인창중학교,중학교,1953-10-10,사립,본교,운영,서울특별시 서대문구 충정로2가 70,서울특별시 서대문구 경기대로 65,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2024-07-09,37.56488513,126.9640232,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008102,중화중학교,중학교,1970-03-03,공립,본교,운영,서울특별시 중랑구 면목동 83,서울특별시 중랑구 용마산로 364,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2024-07-09,37.58450379,127.0945608,2024-09-20,B555223,재단법인한국지방교육행정연구재단
B000008188,대영중학교,중학교,1988-05-02,공립,본교,운영,서울특별시 영등포구 신길동 342-49,서울특별시 영등포구 도림로80가길 14,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-07-09,37.50343784,126.905208,2024-09-20,B555223,재단법인한국지방교육행정연구재단
